year,ticker,list_kind,priced,entry_date,exit_date,price_col,return,benchmark_ret,abnormal_ret
2022,SWKH,addition,True,2022-06-06,2022-06-24,adjClose,-0.09355828221280149,-0.06551746377655376,-0.028040818436247728
2018,SYBX,addition,True,2018-06-11,2018-06-22,adjClose,0.10871905274488691,0.0062960964203993,0.10242295632448761
2020,SYBX,deletion,True,2020-06-15,2020-06-26,adjClose,-0.10313901345291487,-0.030640470954920174,-0.0724985424979947
2016,SYN,addition,False,,,,,,
2017,SYN,deletion,False,,,,,,
2018,SYNL,addition,False,,,,,,
2020,SYNL,deletion,False,,,,,,
2021,TALS,addition,False,,,,,,
2023,TALS,deletion,False,,,,,,
2020,TARA,addition,True,2020-06-15,2020-06-26,adjClose,-0.06635220125786156,-0.030640470954920174,-0.03571173030294139
2021,TARA,deletion,True,2021-06-07,2021-06-25,adjClose,0.03125,0.009467139915354084,0.021782860084645916
2022,TAST,deletion,True,2022-06-06,2022-06-24,adjClose,0.10714285712820892,-0.06551746377655376,0.1726603209047627
2023,TAST,addition,True,2023-05-22,2023-06-23,adjClose,-0.19405594405158288,0.01571050492389836,-0.20976644897548125
2021,TCDA,deletion,False,,,,,,
2022,TCDA,addition,False,,,,,,
2017,TCFC,addition,True,2017-06-01,2017-06-23,adjClose,0.10663983903446717,0.014105793450912563,0.0925340455835546
2021,TCFC,deletion,True,2021-06-07,2021-06-25,adjClose,-0.08638743455390718,0.009467139915354084,-0.09585457446926127
2023,TCFC,addition,True,2023-05-22,2023-06-23,adjClose,0.08506543494996155,0.01571050492389836,0.06935493002606319
2017,TCI,addition,True,2017-06-01,2017-06-23,adjClose,0.3294416243654823,0.014105793450912563,0.31533583091456974
2021,TCI,deletion,True,2021-06-07,2021-06-25,adjClose,-0.020257234726688167,0.009467139915354084,-0.02972437464204225
2022,TCI,addition,True,2022-06-06,2022-06-24,adjClose,-0.14797441364605535,-0.06551746377655376,-0.08245694986950158
2019,TCRR,addition,True,2019-06-10,2019-06-28,adjClose,-0.1274390243902438,0.028299177250638685,-0.15573820164088248
2022,TCRR,deletion,True,2022-06-06,2022-06-24,adjClose,0.1394422310756973,-0.06551746377655376,0.20495969485225107
2017,TDW,deletion,True,2017-06-01,2017-06-23,adjClose,0.0551948051923703,0.014105793450912563,0.04108901174145774
2018,TDW,addition,True,2018-06-11,2018-06-22,adjClose,-0.06583688175527425,0.0062960964203993,-0.07213297817567355
2020,TELA,addition,True,2020-06-15,2020-06-26,adjClose,-0.2482230727173318,-0.030640470954920174,-0.21758260176241162
2021,TELA,deletion,True,2021-06-07,2021-06-25,adjClose,0.23649177760375872,0.009467139915354084,0.22702463768840464
2023,TELA,addition,True,2023-05-22,2023-06-23,adjClose,0.08532778355879289,0.01571050492389836,0.06961727863489453
2022,TERN,deletion,True,2022-06-06,2022-06-24,adjClose,0.29714285714285715,-0.06551746377655376,0.3626603209194109
2023,TERN,addition,True,2023-05-22,2023-06-23,adjClose,-0.03014184397163122,0.01571050492389836,-0.04585234889552958
2019,TESS,addition,True,2019-06-10,2019-06-28,adjClose,0.016505406941274448,0.028299177250638685,-0.011793770309364238
2020,TESS,deletion,True,2020-06-15,2020-06-26,adjClose,-0.1162361623616236,-0.030640470954920174,-0.08559569140670342
2019,TEUM,addition,True,2019-06-10,2019-06-28,adjClose,-0.13,0.028299177250638685,-0.1582991772506387
2020,TEUM,deletion,True,2020-06-15,2020-06-26,adjClose,-0.2636964931985524,-0.030640470954920174,-0.2330560222436322
2021,TIL,addition,True,2021-06-07,2021-06-25,adjClose,0.19047619047619047,0.009467139915354084,0.18100905056083638
2023,TIL,deletion,True,2023-05-22,2023-06-23,adjClose,-0.13327882256745716,0.01571050492389836,-0.14898932749135552
2020,TK,deletion,True,2020-06-15,2020-06-26,adjClose,-0.20512820511336782,-0.030640470954920174,-0.17448773415844765
2021,TK,addition,True,2021-06-07,2021-06-25,adjClose,0.02015113350549136,0.009467139915354084,0.010683993590137275
2017,TNDM,deletion,True,2017-06-01,2017-06-23,adjClose,-0.01610904584882278,0.014105793450912563,-0.03021483929973534
2018,TNDM,addition,True,2018-06-11,2018-06-22,adjClose,0.417636252296387,0.0062960964203993,0.4113401558759877
2020,TNK,deletion,True,2020-06-15,2020-06-26,adjClose,-0.21095208463323334,-0.030640470954920174,-0.18031161367831317
2021,TNK,addition,True,2021-06-07,2021-06-25,adjClose,0.007055805008286509,0.009467139915354084,-0.002411334907067575
2022,TNON,addition,True,2022-06-06,2022-06-24,adjClose,-0.08833922261484095,-0.06551746377655376,-0.022821758838287187
2023,TNON,deletion,True,2023-05-22,2023-06-23,adjClose,-0.8041358024691359,0.01571050492389836,-0.8198463073930342
