company,symbol,sector,list_kind,index_kind,source_file
WIX LTD,WIX,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
XERIUM TECHNOLOGIES INC,XRM,Producer Durables,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
XOMA CORPORATION,XOMA,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ZAIS GROUP HLDGS INC,ZAIS,Financial Services,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ZEDGE INC,ZDGE,Technology,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ZYNERBA PHARMACEUTICALS,ZYNE,Health Care,deletions,r3000,2016_20160621132745_russell-3000-index-2016-deletions
ACACIA COMMUNICATIONS,ACIA,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ACELRX PHARMACEUTICALS,ACRX,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ACNB CORP,ACNB,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AGROFRESH SOLUTIONS INC,AGFS,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ALJ REGIONAL HOLDINGS,ALJJ,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ALLIANCE ONE INTL INC,AOI,Consumer Staples,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AMERICAN INDEPENDENCE,AMIC,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AMERICAN RENAL ASSOC HLD,ARA,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AMERICAN SUPERCONDUCTOR,AMSC,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AMPCO-PITTSBURGH CORP,AP,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AMPIO PHARMACEUTICALS,AMPE,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ANAVEX LIFE SCIENCES,AVXL,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AQUA METALS INC,AQMS,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ARGOS THERAPEUTICS,ARGS,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ATHERSYS INC,ATHX,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ATLANTIC CAPITAL INC,ACBI,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AUTOBYTEL INC,ABTL,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AVENUE FINANCIAL HLDGS,AVNU,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AVINGER INC,AVGR,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AXOGEN INC,AXGN,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
AXSOME THERAPEUTICS INC,AXSM,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
B. RILEY FINANCIAL INC,RILY,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
BANKWELL FINL GROUP INC,BWFG,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
BIO PATH HOLDINGS INC,BPTH,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
BLUE CAPITAL REINSURANCE,BCRH,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
C & F FINANCIAL CORP,CFFI,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CAESARSTONE SDOT-YAM LTD,CSTE,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CALIFORNIA FIRST NATL,CFNB,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CAROLINA FINL CORP,CARO,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CELATOR PHARMACEUTICALS,CPXX,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CENTRAL GARDEN & PET CO,CENT,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CENTRAL VALLEY CMNTY,CVCY,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CENTURY CASINOS INC,CNTY,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CHEMUNG FINL CORP,CHMG,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CHROMADEX CORP,CDXC,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CITY OFFICE REIT INC,CIO,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CODEXIS INC,CDXS,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CODORUS VY BANCORP INC,CVLY,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
COMMUNITY HEALTHCARE TR,CHCT,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
COMPX INTERNATIONAL INC,CIX,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CORVUS PHARMACEUTICALS,CRVS,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
COSTAMARE INC,CMRE,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
COTIVITI HOLDINGS INC,COTV,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
COUNTY BANCORP INC,ICBK,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
CSW INDUSTRIALS INC,CSWI,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
DAWSON GEOPHYSICAL CO,DWSN,Energy,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
DEL TACO RESTAURANTS INC,TACO,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
DELTA APPAREL INC,DLA,Consumer Discretionary,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
DELTA NATURAL GAS INC,DGAS,Utilities,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
DYNAMIC MATERIALS CORP,BOOM,Materials & Processing,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
EGALET CORPORATION,EGLT,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
EIGER BIOPHARMACEUTICALS,EIGR,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ELECTRO SCIENTIFIC INDS,ESIO,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ENERGOUS CORP,WATT,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ENERGY RECOVERY INC,ERII,Producer Durables,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ENZO BIOCHEM INC,ENZ,Health Care,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
ESSA BANCORP INC,ESSA,Financial Services,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
EXA CORP,EXA,Technology,additions,r3000,2016_20160621133709_russell-3000-index-2016-additions
