rebalance_date,hold_end,n_universe,n_with_signal,n_pass_filter,n_delisted,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_ret,short_ret,ls_naive_net,ls_naive_gross,long_scale,short_scale,mean_beta_long,mean_beta_short,actual_turnover,n_active_longs,n_active_shorts,n_carry_longs,n_carry_shorts,n_long,n_short,mkt_ret,ic,mean_r1m_long,mean_r1m_short,sign_ok
2018-03-01,2018-04-01,426,389,56,2,0.008800569357028982,0.014923910787597146,0.006123341430568165,0.004920960784344976,0.0012023806462231892,0.022715414129001806,-0.013383676984344183,0.048901834296077466,0.07882439662104762,0.9852858404118583,1.0147141595881417,1.0453063651777337,1.014990823543884,0.237012987012987,30,26,114,138,144,164,0.017655999450050617,0.09650020827032949,-0.036579006871553424,0.07860775443201384,True
2018-04-01,2018-05-01,429,393,40,2,-0.009352959798203796,-0.004213372679698228,0.005139587118505572,0.003960906764731237,0.0011786803537743348,0.04069897391296707,-0.04990489038026457,-0.019731554661187027,0.01333631894398251,0.998377074399052,1.001622925600948,1.0320827830508412,1.0287382238797222,0.14193548387096774,16,24,129,141,145,165,0.04629947219879031,0.023715988193360325,-0.02972515788015487,0.040236869453495375,True
2018-05-01,2018-06-01,422,385,34,2,-0.06907112668437244,-0.06474452617576573,0.004326600508606733,0.0031562519707979894,0.001170348537808744,0.0740292543949294,-0.14390154283129078,-0.09255671638597288,-0.06016917319775933,1.003676220902167,0.9963237790978331,1.0333457443982152,1.0409713924142885,0.13636363636363635,18,16,128,146,146,162,0.10437888235831967,0.03346742002521916,-0.029386422959989018,0.0351220967589565,True
2018-06-01,2018-07-01,429,386,50,2,-0.03939052291487293,-0.03393260642425032,0.005457916490622615,0.004352457603619448,0.0011054588870031664,-0.01650198571242453,-0.023088399896362972,-0.10994289576787095,-0.08019386106594464,1.0303446895887534,0.9696553104112469,1.0014119436483917,1.0640889263951632,0.18181818181818182,23,27,121,137,144,164,0.005427655456351027,-0.14201752779894725,-0.04881562739840109,0.08604613318454961,True
2018-07-01,2018-08-01,442,402,34,2,-0.01630208179815921,-0.011813243445868404,0.0044888383522908035,0.0033500000375603642,0.0011388383147304395,-0.011534181754109793,-0.004718787455860166,-0.03481215571266939,-0.0028413495638818322,1.007206125726557,0.9927938742734432,1.004062183860695,1.0186380158066293,0.11538461538461539,14,20,129,149,143,169,0.000993972232533612,-0.010737115865030978,-0.04514090588428801,0.03572103045093965,True
2018-08-01,2018-09-01,435,399,33,2,-0.023108663934626378,-0.019361754088451776,0.0037469098461745893,0.0026416286840103735,0.0011052811621642157,0.04613265967868606,-0.07289221510516442,0.008217971113391412,0.038288345866870424,1.0306733487305237,0.969326651269476,0.9688725394175474,1.0301904970700309,0.1282051282051282,13,20,125,154,138,174,0.0552411489856601,0.04086797151811439,-0.04148815813361695,0.01965711107658922,True
2018-09-01,2018-10-01,424,392,43,3,-0.0161883152017498,-0.0110145429321112,0.005173772269638601,0.004067314962082135,0.0011064573075564655,-0.03846191377495782,0.02386160773222476,-0.14215036240255896,-0.11122021017561512,1.025480093560402,0.974519906439598,0.9785900525173231,1.029763078190074,0.14006514657980457,23,20,115,149,138,169,-0.03136911088910644,0.018140678109942947,-0.05216850345747686,0.0324844809747725,True
2018-10-01,2018-11-01,426,394,42,3,0.017608042060303128,0.02294843016103626,0.00534038810073315,0.0041951192815093755,0.0011452688192237742,-0.0757694597249677,0.09660825598808566,0.04865800165202877,0.08090162394513427,1.0187422961805161,0.981257703819484,1.0159232869780344,1.05473212397796,0.2057877813504823,25,17,126,143,151,160,-0.09135682881856161,0.06633182471500111,-0.07021673759886325,0.043799218444539385,True
2018-11-01,2018-12-01,438,406,43,3,0.005348103892261161,0.010698808919376919,0.00535070502711576,0.0041670434380475215,0.0011836615890682388,-0.012982012113307342,0.01906629108967957,-0.004115245605008384,0.0291137731000634,1.0229707975317224,0.9770292024682774,0.9845410133470601,1.0308358266896664,0.17142857142857143,24,19,131,141,155,160,-0.01517872090432184,-0.009618934188058833,-0.029058216590112422,0.042021264330955835,True
2018-12-01,2019-01-01,439,408,56,3,-0.021109052742634443,-0.014843904873469121,0.006265147869165338,0.0051469831675889045,0.0011181647015764337,-0.14338902239772586,0.14435909154648202,-0.04505414981722933,-0.013828764205848804,1.076730726706593,0.9232692732934069,0.9293050401382457,1.083769730179429,0.22570532915360503,24,32,126,137,150,169,-0.13931032640969426,0.07414207220046426,-0.042409036281085034,0.052263819653839964,True
