rebalance_date,hold_end,n_universe,n_with_signal,n_delisted,long_ret,short_ret,ls_ret,ls_gross,ls_cost,ls_ba_cost,ls_borrow_cost,long_scale,short_scale,mean_beta_long,mean_beta_short,long_turnover,short_turnover,avg_turnover,mkt_ret,ic,n_long,n_short
2018-08-01,2018-09-01,435,434,2,0.0358585454975453,-0.11516198556040445,-0.04679885915009023,-0.028729060054973693,0.01806979909511654,0.01708371750305828,0.0009860815920582598,1.2152328606253955,0.7847671393746044,0.790903826563848,1.2247356845250947,0.632183908045977,0.6551724137931034,0.6436781609195402,0.0552411489856601,-0.13484254377780075,87,87
2018-09-01,2018-10-01,424,423,3,-0.037489405605353326,0.03324003313840559,-0.023201585471826686,-0.003715851732399786,0.019485733739426896,0.018493952217403624,0.0009917815220232714,1.2679536744740714,0.7320463255259286,0.7173320528661855,1.2424675605007094,0.6470588235294118,0.7647058823529411,0.7058823529411764,-0.03136911088910644,0.06292067920353465,85,85
2018-10-01,2018-11-01,426,425,3,-0.08376822843564162,0.13057181713376143,-0.022570686481947044,-0.005749521219090253,0.016821165262856798,0.015896663971452514,0.0009245012914042856,1.3236645536571165,0.6763354463428835,0.6977910268943427,1.3656555384674907,0.6,0.6352941176470588,0.6176470588235294,-0.09135682881856161,0.14191290357790665,85,85
2018-11-01,2018-12-01,438,437,3,-0.0028028260694806873,0.018931094599235233,0.008626198136384395,0.025562488173138692,0.016936290036754294,0.016144266891620615,0.000792023145133678,1.3451779597304192,0.6548220402695808,0.6161686156561406,1.2657735847086267,0.5568181818181818,0.7045454545454546,0.6306818181818181,-0.01517872090432184,0.08694171413559393,88,88
2018-12-01,2019-01-01,439,438,3,-0.11771092688658671,0.15080868418282597,-0.045205550090580235,-0.026937803887959966,0.018267746202620245,0.017378012332778085,0.0008897338698421606,1.2916111306543565,0.7083888693456435,0.6889285123744731,1.2561289050602575,0.6477272727272727,0.6818181818181818,0.6647727272727273,-0.13931032640969426,0.22117694992865938,88,88
2019-01-01,2019-02-01,455,454,3,0.08826227666864186,-0.103239461822341,0.04046076899464758,0.06141187635436755,0.020951107359719976,0.020015141985970847,0.0009359653737491297,1.2894906050733168,0.7105093949266831,0.728642365413524,1.3223998040956126,0.7252747252747253,0.7032967032967034,0.7142857142857143,0.11090086801442542,0.0005981648924335508,91,91
2019-02-01,2019-03-01,434,433,3,0.0626946563129034,-0.09915132459937043,0.007472077810745589,0.026478160692903777,0.019006082882158187,0.018045509706749507,0.0009605731754086814,1.2714231508845657,0.7285768491154345,0.6949669607907366,1.2127712870948402,0.6436781609195402,0.6781609195402298,0.6609195402298851,0.07154594732708282,-0.01237777184955623,87,87
2019-03-01,2019-04-01,419,418,3,-0.0421373580581615,-0.04885893195823868,-0.08909675296216191,-0.06912517401022303,0.01997157895193888,0.01911341141675263,0.0008581675351862491,1.2826030156741202,0.7173969843258797,0.7354602265952178,1.3148975046581737,0.6904761904761905,0.7380952380952381,0.7142857142857143,-0.009432749343052391,-0.0487458972650186,84,84
2019-04-01,2019-05-01,440,439,3,0.003999674802213755,0.019306672754154423,0.019141495720243217,0.03813169320754828,0.018990197487305058,0.018016247582985583,0.0009739499043194736,1.272088089983505,0.7279119100164949,0.7269796651384658,1.2704589126201864,0.7045454545454546,0.6931818181818182,0.6988636363636365,0.005098883407199297,0.14471685566642378,88,88
2019-05-01,2019-06-01,442,441,3,-0.086080364174287,0.09098009259759049,-0.027986902638976657,-0.008898865191243166,0.01908803744773351,0.018014973098881004,0.001073064348852503,1.1857367345699943,0.8142632654300056,0.736058557945267,1.0718544087696458,0.6179775280898876,0.7078651685393258,0.6629213483146067,-0.09783430792707172,0.11800329761309752,89,89
