date,ls_gross,ls_net,ls_ba,ls_bw,n_long,n_short,skipped,guard_fired,mkt_ret,long_scale,short_scale,beta_long,beta_short,sort_label
2016-11-03,-0.00478424240796644,-0.010270769329346292,0.005433725364480245,5.280155689960743e-05,36,36,False,False,-0.008488293501239618,1.0271999158770115,0.9728000841229884,1.4024539169627213,1.4808803669299042,quintile
2016-11-04,-0.009464433989316815,-0.0155004818247049,0.0059846443602441565,5.1403475143927854e-05,41,41,False,False,0.0036071799688827386,1.0626178913192763,0.9373821086807238,1.381764705840407,1.5663707301668142,quintile
2016-11-07,-0.0036609737645311967,-0.009597299200434416,0.005881927398052499,5.439803785071945e-05,52,52,False,False,0.01747782927345161,1.0639680240445353,0.9360319759554647,1.4290789611562151,1.6244042485332133,quintile
2016-11-08,0.002777829670993541,0.0016577297139481857,0.0010655020681940874,5.45978888512679e-05,53,53,False,False,0.001859769510242678,1.059034064305893,0.9409659356941069,1.423197533403338,1.6017738909947434,quintile
2016-11-09,-0.012966765084276494,-0.017310393202597668,0.0042864226256563295,5.7205492664843185e-05,58,58,False,False,0.023302708890240005,1.0221779161797588,0.9778220838202414,1.5411165332999852,1.6110244518555465,quintile
2016-11-10,-0.00817384306054825,-0.011077129338206084,0.002845864692102035,5.742158555579899e-05,62,62,False,False,0.01129025158368007,1.0148840504759025,0.9851159495240975,1.5366725000308317,1.5831074624663488,quintile
2016-11-11,-0.011829789882500902,-0.015390735107282992,0.003502165887811866,5.877933697022449e-05,67,67,False,False,0.014520696541175568,1.00545979842295,0.99454020157705,1.5902560606841145,1.6077163453833996,quintile
2016-11-14,-0.0038870963222471418,-0.005096150441974498,0.001150199043330613,5.8855076396743395e-05,68,68,False,False,0.009223516050881633,0.9961010508643313,1.0038989491356687,1.6081140651954027,1.5956228578882359,quintile
2016-11-15,0.009382148814730817,0.0093235655617524,0.0,5.858325297841716e-05,67,67,False,False,0.0056745206669499195,0.9987525279392652,1.0012474720607347,1.6020677116932684,1.5980756222937729,quintile
2016-11-16,-0.010121576905656873,-0.010803554943102103,0.0006235659616224434,5.841207582278808e-05,67,67,False,False,0.0028002125078936783,0.9931456735877319,1.0068543264122682,1.6254772588798323,1.6033458513548091,quintile
2016-11-17,-0.00030225465881119403,-0.0006167404315990175,0.00025585328123947746,5.863249154834605e-05,68,68,False,False,0.004580893409368751,0.9889699922191361,1.011030007780864,1.6359714360244841,1.6002756059704817,quintile
2016-11-18,-0.004937698488426606,-0.004996330979974952,0.0,5.863249154834605e-05,68,68,False,False,0.0017959023412256006,0.9889699922191361,1.011030007780864,1.6359714360244841,1.6002756059704817,quintile
2016-11-21,-0.0008378893878245516,-0.001030782060738115,0.00013490569661438016,5.7986976299183014e-05,69,69,False,False,0.005940946581014323,0.9936753623400938,1.0063246376599064,1.6295195811038814,1.6090368849151644,quintile
2016-11-22,-0.0062068160792777835,-0.006264803055576967,0.0,5.7986976299183014e-05,69,69,False,False,0.004667548368392224,0.9936753623400938,1.0063246376599064,1.6295195811038814,1.6090368849151644,quintile
2016-11-23,0.004667542398958488,0.004610067357719155,0.0,5.747504123933266e-05,70,70,False,False,0.005314378685327305,0.9950706875678099,1.00492931243219,1.6244494956773452,1.6085132124075754,quintile
2016-11-25,-0.004094503065419055,-0.0045656372428138055,0.00041276911786306025,5.836505953169032e-05,70,70,False,False,0.004629425031641268,0.9911008069248524,1.0088991930751476,1.6251750845746813,1.5965047338442646,quintile
2016-11-28,0.003987711879602902,0.003929346820071212,0.0,5.836505953169032e-05,70,70,False,False,-0.008273182864584117,0.9911008069248524,1.0088991930751476,1.6251750845746813,1.5965047338442646,quintile
2016-11-29,0.001864472803505434,0.0018061077439737437,0.0,5.836505953169032e-05,70,70,False,False,-0.0027229078453819195,0.9911008069248524,1.0088991930751476,1.6251750845746813,1.5965047338442646,quintile
2016-11-30,-0.002092264219681268,-0.002150629279212958,0.0,5.836505953169032e-05,70,70,False,False,-0.004105398501207227,0.9911008069248524,1.0088991930751476,1.6251750845746813,1.5965047338442646,quintile
2016-12-01,0.005342643772512343,0.005057975047854366,0.00022595665242146007,5.871207223651767e-05,68,68,False,False,-0.007145322361516834,0.9818484746485332,1.0181515253514668,1.6187682466092632,1.5610497005287385,quintile
2016-12-02,0.0074613115830691945,0.007138206932838115,0.0002645469136806093,5.855773655046956e-05,68,68,False,False,0.000927064929020509,0.984524876761084,1.015475123238916,1.610124004424906,1.5610497005287385,quintile
2016-12-05,-0.003718566725977729,-0.004161964436762708,0.00038378536293114996,5.961234785382968e-05,69,69,False,False,0.012477414255957022,0.9715303699650311,1.028469630034969,1.6192160803723556,1.529571269463732,quintile
2016-12-06,0.0010571769755078324,0.0007016907987843965,0.00029606052501615556,5.942565170728037e-05,69,69,False,False,0.007618927387153262,0.9760513611703262,1.0239486388296737,1.6046311512566536,1.529571269463732,quintile
2016-12-07,0.0026272803318304746,0.0025678546801231944,0.0,5.942565170728037e-05,69,69,False,False,0.009155528854648147,0.9760513611703262,1.0239486388296737,1.6046311512566536,1.529571269463732,quintile
2016-12-08,-0.011869673132092293,-0.012142909418275631,0.00021399711827462813,5.9239167908710346e-05,70,70,False,False,0.00863152792336937,0.9760292870476589,1.023970712952341,1.5990360036693085,1.5241705166791555,quintile
2016-12-09,-7.761399529401108e-06,-0.0008899608895660822,0.000821936955177689,6.026253485899206e-05,71,71,False,False,0.0030193935813943628,0.9696139223881277,1.030386077611872,1.602311520024376,1.5078072108848315,quintile
2016-12-12,0.0057378440198573195,0.004977041078894925,0.0007004975114343732,6.03054295280207e-05,71,71,False,False,-0.0073144365549533494,0.9629273475231851,1.0370726524768148,1.6224202892897608,1.5064256703736723,quintile
